-- מחיקת כל התורים הקיימים
DELETE FROM [dbo].[Appointments];

-- איפוס המפתח הרץ
DBCC CHECKIDENT ('[dbo].[Appointments]', RESEED, 0);

-- הוספת תורים חדשים עם הפרשים של 15 דקות
-- רופא 1 עובד ב-21 תאריכים
INSERT INTO [dbo].[Appointments] (Date, Hour, DoctorId, ClientId) VALUES
('2025-05-11 10:30', 10, 22222222, NULL),
('2025-05-11 10:45', 10, 22222222, NULL),
('2025-05-12 10:00', 10, 22222222, NULL),
('2025-05-12 10:15', 10, 22222222, NULL);

-- רופא 3 עובד ב-21 תאריכים
INSERT INTO [dbo].[Appointments] (Date, Hour, DoctorId, ClientId) VALUES
('2025-05-13 11:00', 11, 33333333, NULL),
('2025-05-13 11:15', 11, 33333333, NULL),
('2025-05-13 11:30', 11, 33333333, NULL),
('2025-05-13 11:45', 11, 33333333, NULL),
('2025-05-14 11:00', 11, 33333333, NULL),
('2025-05-14 11:15', 11, 33333333, NULL),
('2025-05-14 11:30', 11, 33333333, NULL),
('2025-05-14 11:45', 11, 33333333, NULL),
('2025-05-15 11:00', 11, 33333333, NULL),
('2025-05-15 11:15', 11, 33333333, NULL),
('2025-05-15 11:30', 11, 33333333, NULL),
('2025-05-15 11:45', 11, 33333333, NULL),
('2025-05-16 11:00', 11, 33333333, NULL),
('2025-05-16 11:15', 11, 33333333, NULL),
('2025-05-16 11:30', 11, 33333333, NULL),
('2025-05-16 11:45', 11, 33333333, NULL),
('2025-05-17 11:00', 11, 33333333, NULL),
('2025-05-17 11:15', 11, 33333333, NULL),
('2025-05-17 11:30', 11, 33333333, NULL),
('2025-05-17 11:45', 11, 33333333, NULL),
('2025-05-18 11:00', 11, 33333333, NULL),
('2025-05-18 11:15', 11, 33333333, NULL);

-- רופא 4 עובד ב-21 תאריכים
INSERT INTO [dbo].[Appointments] (Date, Hour, DoctorId, ClientId) VALUES
('2025-05-19 12:00', 12, 44444444, NULL),
('2025-05-19 12:15', 12, 44444444, NULL),
('2025-05-19 12:30', 12, 44444444, NULL),
('2025-05-19 12:45', 12, 44444444, NULL),
('2025-05-20 12:00', 12, 44444444, NULL),
('2025-05-20 12:15', 12, 44444444, NULL),
('2025-05-20 12:30', 12, 44444444, NULL),
('2025-05-20 12:45', 12, 44444444, NULL),
('2025-05-21 12:00', 12, 44444444, NULL),
('2025-05-21 12:15', 12, 44444444, NULL),
('2025-05-21 12:30', 12, 44444444, NULL),
('2025-05-21 12:45', 12, 44444444, NULL),
('2025-05-22 12:00', 12, 44444444, NULL),
('2025-05-22 12:15', 12, 44444444, NULL),
('2025-05-22 12:30', 12, 44444444, NULL),
('2025-05-22 12:45', 12, 44444444, NULL),
('2025-05-23 12:00', 12, 44444444, NULL),
('2025-05-23 12:15', 12, 44444444, NULL),
('2025-05-23 12:30', 12, 44444444, NULL),
('2025-05-23 12:45', 12, 44444444, NULL),
('2025-05-24 12:00', 12, 44444444, NULL),
('2025-05-24 12:15', 12, 44444444, NULL);

-- רופא 5 עובד ב-21 תאריכים
INSERT INTO [dbo].[Appointments] (Date, Hour, DoctorId, ClientId) VALUES
('2025-05-25 13:00', 13, 55555555, NULL),
('2025-05-25 13:15', 13, 55555555, NULL),
('2025-05-25 13:30', 13, 55555555, NULL),
('2025-05-25 13:45', 13, 55555555, NULL),
('2025-05-26 13:00', 13, 55555555, NULL),
('2025-05-26 13:15', 13, 55555555, NULL),
('2025-05-26 13:30', 13, 55555555, NULL),
('2025-05-26 13:45', 13, 55555555, NULL),
('2025-05-27 13:00', 13, 55555555, NULL),
('2025-05-27 13:15', 13, 55555555, NULL),
('2025-05-27 13:30', 13, 55555555, NULL),
('2025-05-27 13:45', 13, 55555555, NULL),
('2025-05-28 13:00', 13, 55555555, NULL),
('2025-05-28 13:15', 13, 55555555, NULL),
('2025-05-28 13:30', 13, 55555555, NULL),
('2025-05-28 13:45', 13, 55555555, NULL),
('2025-05-29 13:00', 13, 55555555, NULL),
('2025-05-29 13:15', 13, 55555555, NULL),
('2025-05-29 13:30', 13, 55555555, NULL),
('2025-05-29 13:45', 13, 55555555, NULL),
('2025-05-30 13:00', 13, 55555555, NULL),
('2025-05-30 13:15', 13, 55555555, NULL);

-- רופא 6 עובד ב-21 תאריכים
INSERT INTO [dbo].[Appointments] (Date, Hour, DoctorId, ClientId) VALUES
('2025-05-31 14:00', 14, 66666666, NULL),
('2025-05-31 14:15', 14, 66666666, NULL),
('2025-05-31 14:30', 14, 66666666, NULL),
('2025-05-31 14:45', 14, 66666666, NULL),
('2025-06-01 14:00', 14, 66666666, NULL),
('2025-06-01 14:15', 14, 66666666, NULL),
('2025-06-01 14:30', 14, 66666666, NULL),
('2025-06-01 14:45', 14, 66666666, NULL),
('2025-06-02 14:00', 14, 66666666, NULL),
('2025-06-02 14:15', 14, 66666666, NULL),
('2025-06-02 14:30', 14, 66666666, NULL),
('2025-06-02 14:45', 14, 66666666, NULL),
('2025-06-03 14:00', 14, 66666666, NULL),
('2025-06-03 14:15', 14, 66666666, NULL),
('2025-06-03 14:30', 14, 66666666, NULL),
('2025-06-03 14:45', 14, 66666666, NULL),
('2025-06-04 14:00', 14, 66666666, NULL),
('2025-06-04 14:15', 14, 66666666, NULL),
('2025-06-04 14:30', 14, 66666666, NULL),
('2025-06-04 14:45', 14, 66666666, NULL),
('2025-06-05 14:00', 14, 66666666, NULL),
('2025-06-05 14:15', 14, 66666666, NULL);

-- רופא 7 עובד ב-21 תאריכים
INSERT INTO [dbo].[Appointments] (Date, Hour, DoctorId, ClientId) VALUES
('2025-06-06 15:00', 15, 77777777, NULL),
('2025-06-06 15:15', 15, 77777777, NULL),
('2025-06-06 15:30', 15, 77777777, NULL),
('2025-06-06 15:45', 15, 77777777, NULL),
('2025-06-07 15:00', 15, 77777777, NULL),
('2025-06-07 15:15', 15, 77777777, NULL),
('2025-06-07 15:30', 15, 77777777, NULL),
('2025-06-07 15:45', 15, 77777777, NULL),
('2025-06-08 15:00', 15, 77777777, NULL),
('2025-06-08 15:15', 15, 77777777, NULL),
('2025-06-08 15:30', 15, 77777777, NULL),
('2025-06-08 15:45', 15, 77777777, NULL),
('2025-06-09 15:00', 15, 77777777, NULL),
('2025-06-09 15:15', 15, 77777777, NULL),
('2025-06-09 15:30', 15, 77777777, NULL),
('2025-06-09 15:45', 15, 77777777, NULL),
('2025-06-10 15:00', 15, 77777777, NULL),
('2025-06-10 15:15', 15, 77777777, NULL),
('2025-06-10 15:30', 15, 77777777, NULL),
('2025-06-10 15:45', 15, 77777777, NULL),
('2025-06-11 15:00', 15, 77777777, NULL),
('2025-06-11 15:15', 15, 77777777, NULL);

-- רופא 8 עובד ב-21 תאריכים
INSERT INTO [dbo].[Appointments] (Date, Hour, DoctorId, ClientId) VALUES
('2025-06-12 16:00', 16, 88888888, NULL),
('2025-06-12 16:15', 16, 88888888, NULL),
('2025-06-12 16:30', 16, 88888888, NULL),
('2025-06-12 16:45', 16, 88888888, NULL),
('2025-06-13 16:00', 16, 88888888, NULL),
('2025-06-13 16:15', 16, 88888888, NULL),
('2025-06-13 16:30', 16, 88888888, NULL),
('2025-06-13 16:45', 16, 88888888, NULL),
('2025-06-14 16:00', 16, 88888888, NULL),
('2025-06-14 16:15', 16, 88888888, NULL),
('2025-06-14 16:30', 16, 88888888, NULL),
('2025-06-14 16:45', 16, 88888888, NULL),
('2025-06-15 16:00', 16, 88888888, NULL),
('2025-06-15 16:15', 16, 88888888, NULL),
('2025-06-15 16:30', 16, 88888888, NULL),
('2025-06-15 16:45', 16, 88888888, NULL),
('2025-06-16 16:00', 16, 88888888, NULL),
('2025-06-16 16:15', 16, 88888888, NULL),
('2025-06-16 16:30', 16, 88888888, NULL),
('2025-06-16 16:45', 16, 88888888, NULL),
('2025-06-17 16:00', 16, 88888888, NULL),
('2025-06-17 16:15', 16, 88888888, NULL);

-- רופא 9 עובד ב-21 תאריכים
INSERT INTO [dbo].[Appointments] (Date, Hour, DoctorId, ClientId) VALUES
('2025-06-18 17:00', 17, 99999999, NULL),
('2025-06-18 17:15', 17, 99999999, NULL),
('2025-06-18 17:30', 17, 99999999, NULL),
('2025-06-18 17:45', 17, 99999999, NULL),
('2025-06-19 17:00', 17, 99999999, NULL),
('2025-06-19 17:15', 17, 99999999, NULL),
('2025-06-19 17:30', 17, 99999999, NULL),
('2025-06-19 17:45', 17, 99999999, NULL),
('2025-06-20 17:00', 17, 99999999, NULL),
('2025-06-20 17:15', 17, 99999999, NULL),
('2025-06-20 17:30', 17, 99999999, NULL),
('2025-06-20 17:45', 17, 99999999, NULL),
('2025-06-21 17:00', 17, 99999999, NULL),
('2025-06-21 17:15', 17, 99999999, NULL),
('2025-06-21 17:30', 17, 99999999, NULL),
('2025-06-21 17:45', 17, 99999999, NULL),
('2025-06-22 17:00', 17, 99999999, NULL),
('2025-06-22 17:15', 17, 99999999, NULL),
('2025-06-22 17:30', 17, 99999999, NULL),
('2025-06-22 17:45', 17, 99999999, NULL),
('2025-06-23 17:00', 17, 99999999, NULL),
('2025-06-23 17:15', 17, 99999999, NULL);
select * from [dbo].[Appointments];
